d2025,617.12,Timolol Maleate Ophthalmic Solution,7951,"Bausch Health Americas, Inc.","Istalol, Timolol Maleate Ophthalmic solution 0.5% in a 7.5 mL bottle (NDC 24208-004-01)"
d2026,684.31,Timolol Maleate Ophthalmic Solution,415,"Bausch Health Americas, Inc.","Istalol, Timolol Maleate Ophthalmic solution 0.5% in a 10 ml bottle (NDC 24208-004-03)"
d2027,249.07,Timolol Maleate Ophthalmic Solution,5760,"Bausch Health Americas, Inc.","Timolol Maleate Ophthalmic Solution 0.5%,  2.5ml (NDC 68682-045-25)"
d2028,748.36,Timolol Maleate Ophthalmic Solution,2839,"Bausch Health Americas, Inc.","Timolol Maleate Ophthalmic Solution 0.5%, 5ml (NDC 68682-045-50)"
d2029,44.93,Timolol Maleate Ophthalmic Solution,6418,FDC Limited,TIMOLOL MALEATE OPHTHAMIC SOLUTION 0.25% 5mL (NDC 64980-513-05)
d203,344.27,Bupivacaine Hydrochloride Injection,3795,"Fresenius Kabi USA, LLC","Sensorcaine 0.75% (75 mg per 10 mL) (7.5 mg per mL) MPF,             SDV (NDC 63323-472-17)"
d2030,248.85,Timolol Maleate Ophthalmic Solution,6829,FDC Limited,TIMOLOL MALEATE OPHTHAMIC SOLUTION 0.25%  10 mL (NDC 64980-513-01)
d2031,360.29,Timolol Maleate Ophthalmic Solution,9515,FDC Limited,TIMOLOL MALEATE OPHTHAMIC SOLUTION 0.25% 15 mL (NDC 64980-513-15)
d2032,137.85,Timolol Maleate Ophthalmic Solution,9722,FDC Limited,TIMOLOL MALEATE OPHTHAMIC SOLUTION 0.5% 5mL (NDC 64980-514-05)
d2033,724.89,Timolol Maleate Ophthalmic Solution,8530,FDC Limited,TIMOLOL MALEATE OPHTHAMIC SOLUTION 0.5% 10mL (NDC 64980-514-01)
d2034,557.95,Timolol Maleate Ophthalmic Solution,4286,FDC Limited,TIMOLOL MALEATE OPHTHAMIC SOLUTION 0.5% 15mL (NDC 64980-514-15)
d2035,278.46,Timolol Maleate Ophthalmic Solution,648,Allergan,Timolol Maleate 0.25% OS 1x5ml BTL (NDC 60758-802-05)
d2036,499.43,Timolol Maleate Ophthalmic Solution,3024,Allergan,Timolol Maleate 0.25% OS 1x10ml BTL (NDC 60758-802-10)
d2037,564.61,Timolol Maleate Ophthalmic Solution,8826,Allergan,Timolol Maleate 0.5% OS 1x5ml BTL (NDC 60758-801-05)
d2038,175.38,Timolol Maleate Ophthalmic Solution,2491,Allergan,Timolol Maleate 0.5% OS 1x10ml BTL (NDC 60758-801-10)
d2039,271.63,Timolol Maleate Ophthalmic Solution,8064,Akorn Pharmaceuticals,"Timolol Maleate Ophth Sol 0.5% 5mg/mL, 5mL, 1 Bottle/EA (NDC 17478-0288-10)"
d204,736.81,Bupivacaine Hydrochloride Injection,6448,"Fresenius Kabi USA, LLC","Sensorcaine 0.75% (225 mg per 30 mL) (7.5 mg per mL) MPF,     SDV (NDC 63323-472-37)"
d2040,574.67,Timolol Maleate Ophthalmic Solution,9014,Akorn Pharmaceuticals,"Timolol Maleate Ophth Sol 0.5%, 10mL, 1 Bottle / EA (NDC 17478-0288-11)"
d2041,114.65,Timolol Maleate Ophthalmic Solution,4704,Akorn Pharmaceuticals,"Timolol Maleate Ophth Sol 0.5%, 15mL, 1 Bottle / EA (NDC 17478-0288-12)"
d2042,171.23,Timolol Maleate Ophthalmic Solution,5296,Sandoz,"Timolol Maleate Ophthalmic Solution, USP 0.5%, 5 mL bottle, (NDC 61314-227-05)"
d2043,753.52,Timolol Maleate Ophthalmic Solution,6031,Sandoz,"Timolol Maleate Ophthalmic Solution, USP 0.5%, 10 mL bottle (NDC 61314-227-10)"
d2044,811.84,Timolol Maleate Ophthalmic Solution,8076,Sandoz,"Timolol Maleate Ophthalmic Solution, USP 0.5%, 15 mL bottle (NDC 61314-227-15)"
d2045,313.82,Timolol Maleate Ophthalmic Solution,9604,Sandoz,"Timolol Maleate Ophthalmic Solution, USP 0.25%, 5 mL bottle, ()NDC 61314-226-05"
d2046,425.89,Timolol Maleate Ophthalmic Solution,1993,Sandoz,"Timolol Maleate Ophthalmic Solution, USP 0.25%, 10 mL bottle, (NDC 61314-226-10)"
d2047,802.78,Timolol Maleate Ophthalmic Solution,2066,Sandoz,"Timolol Maleate Ophthalmic Solution, USP 0.25%, 15 mL bottle, (NDC 61314-226-15)"
d2048,268.71,Timolol Maleate Ophthalmic Solution,9055,Apotex Corp.,Timolol Maleate Ophthalmic Solution 0.5% 2.5mL bottle (NDC 60505-1005-04)
d2049,503.38,Timolol Maleate Ophthalmic Solution,8393,Apotex Corp.,Timolol Maleate Ophthalmic Solution 0.5% 5mL bottle (NDC 60505-1005-01)
d205,637.4,Bupivacaine Hydrochloride Injection,3565,"Hospira, Inc.",Marcaine Spinal 15 mg/2 mL (7.5 mg/mL in 8.25% dextrose); Glass Ampul (NDC 00409- 1761-02)
d2050,113.86,Tipranavir Oral Solution,5546,"Boehringer Ingelheim Pharmaceuticals, Inc.",100mg/mL (NDC 0597-0002-01)
d2051,168.61,Tizanidine Hydrochloride Capsules,9340,"Endo Pharmaceuticals, Inc.",2 mg  (NDC 49884-611-53)
d2052,943.9,Tizanidine Hydrochloride Capsules,6757,"Endo Pharmaceuticals, Inc.",4 mg (NDC 49884-719-53)
d2053,709.97,Tizanidine Hydrochloride Capsules,7520,"Endo Pharmaceuticals, Inc.",6 mg (NDC 49884-765-53)
d2054,436.03,Tizanidine Hydrochloride Tablets,8795,Mylan Pharmaceuticals Inc.,4 mg (NDC 0378-0724-19)
d2055,895.37,Tizanidine Hydrochloride Tablets,7914,Mylan Pharmaceuticals Inc.,2 mg (NDC 0378-0722-19)
d2056,747.15,Tobramycin Lyophilized Powder for Injection,1758,"Fresenius Kabi USA, LLC","1.2 g, pharmacy bulk package, tray of 6 vials (NDC 63323-303-51)"
d2057,458.91,Tobramycin Lyophilized Powder for Injection,8269,"Fresenius Kabi USA, LLC","1.2 g, pharmacy bulk package, tray of 6 vials (NDC 63323-303-55), Novaplus"
d2058,925.2,Tobramycin Lyophilized Powder for Injection,9324,"X-GEN Pharmaceuticals, Inc.","1.2 g, pharmacy bulk package, bottle (NDC 39822-0412-1)"
d2059,952.94,Tobramycin Lyophilized Powder for Injection,1562,"X-GEN Pharmaceuticals, Inc.","1.2 g, pharmacy bulk package, pack of 6 bottles (NDC 39822-0412-6)"
d206,855.08,Bupivacaine Hydrochloride Injection,3981,"Areva Pharmaceuticals, Inc.",0.25% 5 mL single-dose ampules (NDC 59923-717-05)
d2060,524.44,Tocilizumab Injection,6756,"Genentech, Inc","200mg/10mL, (NDC 50242-0136-01)"
d2061,615.28,Tocilizumab Injection,1227,"Genentech, Inc","400mg/20mL, (NDC 50242-0137-01)"
d2062,879.9,Tocilizumab Injection,8691,"Genentech, Inc","80mg/4mL, (NDC 50242-0135-01)"
d2063,480.86,Tolcapone Tablets,2253,"Endo Pharmaceuticals, Inc.",100mg tablets (NDC 49884-254-09)
d2064,853.61,Trandolapril Tablets,5805,Teva Pharmaceuticals,"4 mg tablets, 100 count (NDC 16252-543-90)"
d2065,14.99,Trandolapril Tablets,3345,Teva Pharmaceuticals,"2 mg tablets, 100 count (NDC 16252-542-90)"
d2066,748.03,Trandolapril Tablets,3054,Teva Pharmaceuticals,"1 mg tablets, 100 count (NDC 16252-541-30)"
d2067,545.46,Tranexamic Acid Tablets,4490,Apotex Corp.,"Tranexamic Acid 650 mg per Tablet, 30 Tablets per Bottle,  (NDC 60505-3638-3)"
d2068,540.1,Tranexamic Acid Tablets,3504,Apotex Corp.,"Tranexamic Acid 650 mg per Tablet, 100 Tablets per Bottle,  (NDC 60505-3638-1)"
d2069,875.66,Triamcinolone Acetonide Cream,3065,Mylan Pharmaceuticals Inc.,1 mg/1g (NDC 40085-029-80)
d207,271.69,Bupivacaine Hydrochloride Injection,8767,"Areva Pharmaceuticals, Inc.",0.25% 10 mL single-dose ampules (NDC 59923-719-10)
d2070,529.62,Triamcinolone Acetonide Cream,4539,Mylan Pharmaceuticals Inc.,1mg/1g (NDC 40085-029-16)
d2071,532.71,Triamcinolone Acetonide Cream,4321,Mylan Pharmaceuticals Inc.,0.25mg/1g (NDC 40085-028-80)
d2072,999.81,Triamcinolone Acetonide Injectable Suspension,6712,Novartis,"40mg/mL vial, 1mL in 1 vial (NDC 0065-0543-01)"
d2073,263.99,Triamcinolone Hexacetonide Injectable suspension,8132,Medexus,"Hexatrione 2% (triamcinolone hexacetonide) Injectable suspension, 20mg/ml, 2-mL glass ampoule (NDC 59137-570-01)"
d2074,509.91,Triamterene and Hydrochlorothiazide (Dyazide) Capsules,6444,GlaxoSmithKline,25 mg; 37.5 mg (NDC 0007-3650-22)
d2075,549.27,Triamterene and Hydrochlorothiazide Tablets,1489,Sandoz,"Triamterene and Hydrochlorothiazide tablets, 37.5 mg/25 mg, 100 count bottle (NDC 0781-5068-01)"
d2076,986.23,Triamterene and Hydrochlorothiazide Tablets,1638,Sandoz,"Triamterene and Hydrochlorothiazide tablets, 37.5 mg/25 mg, 500 count bottle (NDC 0781-5068-05)"
d2077,91.1,Triamterene and Hydrochlorothiazide Tablets,7117,Sandoz,"Triamterene and Hydrochlorothiazide tablets, 75 mg/50 mg, 100 count bottle (NDC 0781-5067-01)"
d2078,892.38,Triamterene and Hydrochlorothiazide Tablets,5862,Sandoz,"Triamterene and Hydrochlorothiazide tablets, 75 mg/50 mg, 500 count bottle (NDC 0781-5067-05)"
d2079,469,Triamterene and Hydrochlorothiazide Tablets,4872,Sandoz,"Triamterene and Hydrochlorothiazide tablets, 37.5 mg/25 mg, 100 count bottle (NDC 68001-0216-00)"
d208,943.77,Bupivacaine Hydrochloride Injection,9943,"Areva Pharmaceuticals, Inc.",0.5% 5 mL single-dose ampules (NDC 59923-718-05)
d2080,334.46,Triamterene and Hydrochlorothiazide Tablets,1510,Sandoz,"Triamterene and Hydrochlorothiazide tablets, 37.5 mg/25 mg, 500 count bottle (NDC 68001-0216-03)"
d2081,424.81,Triamterene and Hydrochlorothiazide Tablets,4628,Sandoz,"Triamterene and Hydrochlorothiazide tablets, 75 mg/50 mg, 100 count bottle (NDC 68001-0215-00)"
d2082,148.66,Triamterene and Hydrochlorothiazide Tablets,1778,Sandoz,"Triamterene and Hydrochlorothiazide tablets, 75 mg/50 mg, 500 count bottle (NDC 68001-0215-03)"
d2083,499.14,Trimethobenzamide Hydrochloride Capsules,4426,Pfizer Pharmaceuticals,"300 mg, 100 count bottle (NDC 61570-079-01)"
d2084,675.61,Trimethobenzamide Hydrochloride Capsules,4934,Lupin,"300 mg, bottle of 30 (NDC 43386-660-03)"
d2085,99,Trimethobenzamide Hydrochloride Capsules,5565,Lupin,"300 mg, bottle of 100 (NDC 43386-660-24)"
d2086,143.25,Trimethobenzamide Hydrochloride Capsules,7967,Lupin,"300 mg, bottle of 500 (NDC 43386-660-26)"
d2087,397.67,Trimethobenzamide Hydrochloride Capsules,4048,Pfizer Pharmaceuticals,"300 mg, bottle of 100 (NDC 61570-079-01)"
d2088,315.83,Trimethobenzamide Hydrochloride Capsules,4482,Sun Pharmaceutical Industries Inc.,"300 mg, bottle of 100 (NDC 53489-376-01)"
d2089,877.48,Trimethobenzamide Hydrochloride Capsules,4478,Sun Pharmaceutical Industries Inc.,"300 mg, bottle of 100 (NDC 53489-376-01)"
d209,429.61,Bupivacaine Hydrochloride Injection,7555,"Areva Pharmaceuticals, Inc.",0.5% 10 mL single-dose ampules (NDC 59923-720-10)
d2090,367.49,Ursodiol (Actigall) Capsules,3700,Allergan Sales LLC,300 mg (NDC 0023-6145-01)
d2091,717.58,Valacyclovir Tablets,4310,GlaxoSmithKline,"500 mg, 100-count unit dose pack (NDC 0173-0933-56)"
d2092,703.82,Valproate Sodium Injection,9381,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","100 mg/mL, 5 mL vial (NDC 0143-9785-10)"
d2093,690.91,Valproate Sodium Injection,8796,"Fresenius Kabi USA, LLC",500 mg per 5 mL (100 mg per mL) (NDC 63323-494-05)
d2094,829.42,Vancomycin Hydrochloride for Injection,5134,"Mylan Institutional, a Viatris company",Vancomycin Hydrochloride Injection (Lyophilisate in Single Dose Vials) [250 mg] (NDC 67457-822-99)
d2095,712.25,Vardenafil Hydrochloride Tablets,4733,Bayer,Levitra 20mg (NDC 0173-0831-13)
d2096,202.7,Vardenafil Hydrochloride Tablets,9001,Bayer,Levitra 10 mg (NDC 0173-0830-13)
d2097,675.92,Vardenafil Hydrochloride Tablets,8467,Bayer,Staxyn 10 mg (NDC 0173-0822-04)
d2098,429.2,Varenicline Tartrate (Chantix) Tablets,7145,Pfizer Pharmaceuticals,Chantix 0.5 mg; bottle of 56 (NDC 0069-0468-56)
d2099,772.94,Varenicline Tartrate (Chantix) Tablets,8604,Pfizer Pharmaceuticals,Chantix 1 mg; bottle of 56 (NDC 0069-0469-56)
d21,42.52,Amantadine Hydrochloride Capsules,2926,Teva Pharmaceuticals,100 mg capsules (NDC 0591-4930-01 & 0591-4930-05)
d210,104.82,Bupivacaine Hydrochloride Injection,9484,Baxter Healthcare,"Bupivacaine Spinal, USP (7.5 mg/mL in 8.25% dextrose) 2 mL Single Dose Ampule (10 x 2 mL)(NDC 36000-092-10)"
d2100,82.54,Varenicline Tartrate (Chantix) Tablets,4333,Pfizer Pharmaceuticals,Chantix Starting wallet; 0.5 mg 1x11 1 mg FCT 3x14 BLS WL US (NDC 0069-0471-03)
d2101,46.2,Varenicline Tartrate (Chantix) Tablets,4912,Pfizer Pharmaceuticals,Chantix Continuing wallet; 1 mg FCT 4x14 BLS WL US (NDC 0069-0469-03)
d2102,876.35,Varenicline Tartrate (Chantix) Tablets,3227,Apotex Corp.,Apo-Varenicline 0.5 mg; bottle of 56 tablets (NDC 60505-4765-5)
d2103,536.27,Varenicline Tartrate (Chantix) Tablets,5951,Apotex Corp.,Apo-Varenicline 1 mg; bottle of 56 tablets (NDC 60505-4766-6)
d2104,946.92,Varenicline Tartrate (Chantix) Tablets,9437,Apotex Corp.,Apo-Varenicline 0.5 mg and 1 mg; Starter Blister Pack of 53 tablets; (NDC 60505-4767-0)
d2105,28.42,Varenicline Tartrate (Chantix) Tablets,6883,Apotex Corp.,Apo-Varenicline 1 mg: Continuation Blister Pack of 56 tablets (NDC 60505-4766-5)
d2106,481.06,Varenicline Tartrate (Chantix) Tablets,6467,Par Pharmaceutical,"0.5 mg, 56 ‘s count bottle pack (NDC 49884-155-76)"
d2107,33.08,Varenicline Tartrate (Chantix) Tablets,1840,Par Pharmaceutical,"1 mg, 56 ‘s count bottle pack (NDC 49884-156-76)"
d2108,24.34,Vecuronium Bromide for Injection,6490,Teva Pharmaceuticals,10 mg* 10 X 10 mL *1 mg/mL when reconstituted to 10 mL (NDC 0703-2914-03)
d2109,383.18,Vecuronium Bromide for Injection,2188,"Hospira, Inc.",10 mg Single Dose Glass Fliptop Vial (NDC 00409-1632-01)
d211,584.08,Bupivacaine Hydrochloride Injection,7390,"Huons Co., Ltd","HCl 0.75% & Dextrose 8.25%, Injectable spinal (NDC 73293-0002)"
d2110,363.19,Vecuronium Bromide for Injection,6973,"Hospira, Inc.",20 mg Single Dose Glass Fliptop Vial (NDC 00409-1634-01)
d2111,511.06,Vecuronium Bromide for Injection,1243,"Mylan Institutional, a Viatris company",Vecuronium Bromide Injection (Lyophilizate in Single Dose Vials) [10 mg](NDC 67457-438-10)
d2112,5.31,Vecuronium Bromide for Injection,8863,"Mylan Institutional, a Viatris company",Vecuronium Bromide Injection (Lyophilizate in Single Dose Vials) [20 mg](NDC 67457-475-20)
d2113,253.27,Vecuronium Bromide for Injection,5908,Gland Pharma Limited,10 mg/vial (NDC 63323-781-10)
d2114,917.76,Vecuronium Bromide for Injection,1609,Gland Pharma Limited,20 mg/vial (NDC 63323-782-20)
d2115,814.12,Vecuronium Bromide for Injection,2804,Sun Pharmaceutical Industries Inc.,10 mg (NDC 47335-931-44)
d2116,395.49,Vecuronium Bromide for Injection,2982,Sun Pharmaceutical Industries Inc.,20 mg (NDC 47335-932-44)
d2117,346.12,Vecuronium Bromide for Injection,1035,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),"10 mg/vial, packages of 10 (NDC 55150-235-10)"
d2118,591.14,Vecuronium Bromide for Injection,6663,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),"20 mg/vial, packages of 10 (NDC 55150-236-20)"
d2119,436.3,Vibramycin Hyclate (Doxycycline Hyclate) for Suspension,6795,Pfizer Pharmaceuticals,25 mg/5 mL oral suspension; 1 x 60 mL bottle (NDC 0069-0970-65)
d212,233.63,Busulfan Injection,5408,Apotex Corp.,6mg/mL (NDCs 60505-6177-0 and 60505-6177-8)
d2120,547.23,Vinorelbine Tartrate Injection,7617,"Hospira, Inc.",10 mg/mL Single Dose Onco-Tain Glass Fliptop Vial (NDC 61703-0341-06)
d2121,710.06,Vinorelbine Tartrate Injection,5788,"Hospira, Inc.",10 mg/mL; 50 mg/5mL Single Dose Onco-Tain Glass Fliptop Vial (NDC 61703-0341-09)
d2122,281.04,Vitamin A Palmitate (Aquasol A) Injection,6167,"Casper Pharma, LLC","50,000 USP units/mL (15 mg retinol), single dose vial (NDC 61703-418-18)"
d2123,637.72,Zinc Acetate Capsules,5437,Teva Pharmaceuticals,"25 mg, bottle of 250 (NDC 57844-215-52)"
d2124,824.25,Zinc Acetate Capsules,6445,Teva Pharmaceuticals,"50 mg, bottle of 250 (NDC 57844-208-52)"
d2125,601.78,Zolpidem Tartrate (Edluar) Sublingual Tablets,9308,Mylan Pharmaceuticals Inc.,10 mg (NDC 0037-6010-30)
d213,244.16,Busulfan Injection,7093,American Regent/Luitpold,6 mg/mL  (NDC 0517-0920-08)
d214,623.6,Calcitriol Injection 1MCG/ML,8864,Akorn Pharmaceuticals,"Calcitriol Injection USP, 1 mcg/mL, 1 mL ampule  (NDC 17478-931-01)"
d215,686.28,Calcium Disodium Versenate Injection,1265,Bausch Health,1000 mg/5 mL (200 mg/mL) (NDC 99207-240-05)
d216,622.06,Calcium Gluconate Injection,1598,"Fresenius Kabi USA, LLC","1,000 mg calcium gluconate per 10 mL (100 mg/mL), single dose vial (NDC 63323-360-01, 1 vial; NDC 63323-360-19, 25 vials)"
d217,471.56,Calcium Gluconate Injection,9621,"Fresenius Kabi USA, LLC","5,000 mg calcium gluconate per 50 mL (100 mg/mL), single dose vial (NDC 63323-360-03, 1 vial; NDC 63323-360-59, 25 vials)"
d218,220.63,Calcium Gluconate Injection,5905,"Fresenius Kabi USA, LLC","10,000 mg calcium gluconate per 100 mL (100 mg/mL), pharmacy bulk package vial (NDC 63323-360-05, 1 vial; NDC 63323-360-61, 20 vials)"
d219,817.73,Calcium Gluconate Injection,4521,HQ Specialty Pharma,1000 mg/50 mL (20 mg/mL) single-dose bag (NDC 44567-620-24)
d22,702.71,Amantadine Hydrochloride Capsules,5004,Sandoz,100 mg capsules  (NDCs 0781-2320-01 and 0781-2320-05)
d220,132.18,Calcium Gluconate Injection,2108,HQ Specialty Pharma,2000 mg/100 mL (20 mg/mL) single-dose bag (NDC 44567-621-24)
d221,252.05,Calcium Gluconate Injection,8323,HQ Specialty Pharma,1000mg/100mL (10mg/mL) Calcium Gluconate single-dose bag (NDC 44567-0622-24)
d222,121.5,Capreomycin Injection,5149,Akorn Pharmaceuticals,"Capastat Sulfate (Capreomycin for Injection USP) Eq to 1 g Capreomycin activity, 10mL (NDC 17478-080-50)"
d223,281.63,Captopril Tablets,3690,"Mylan Pharmaceuticals Inc., a Viatris Company",12.5mg; 25mg; 50mg; 100mg (NDC 0378-3007-10; 0378-3007-01; 0378-3012-10; 0378-3012-01; 0378-3017-10; 0378-3017-01; 0378-3022-01)
d224,93.69,Captopril/Hydrochlorothiazide Tablets,3327,"Mylan Pharmaceuticals Inc., a Viatris Company",Captopril/HCTZ 25mg/15mg 100s Tabs (NDC 00378-0081-01)
d225,245.42,Captopril/Hydrochlorothiazide Tablets,885,"Mylan Pharmaceuticals Inc., a Viatris Company",Captopril/HCTZ 25mg/25mg 100s Tabs (NDC 00378-0083-01)
d226,726.95,Captopril/Hydrochlorothiazide Tablets,9818,"Mylan Pharmaceuticals Inc., a Viatris Company",Captopril/HCTZ 50mg/15mg 100s Tabs (NDC 00378-0084-01)
d227,885.18,Captopril/Hydrochlorothiazide Tablets,2966,"Mylan Pharmaceuticals Inc., a Viatris Company",Captopril/HCTZ 50mg/25mg 100s Tabs (NDC 00378-0086-01)
d228,241.96,"Carbidopa, Levodopa and Entacapone, Tablets",3386,Wockhardt,"50/12.5/200 mg, Bottle of 100 Tablets (NDC 64679-0782-04)"
d229,655.1,"Carbidopa, Levodopa and Entacapone, Tablets",9368,Wockhardt,"75/18.75/200 mg, Bottle of 100 Tablets (NDC 64679-0783-04)"
d23,550.81,Amifostine Injection,893,"Clinigen, Inc.",ETHYOL® (amifostine) for injection: 3 x 500 mg vials (NDC 76310-017-50)
d230,220.83,"Carbidopa, Levodopa and Entacapone, Tablets",8610,Wockhardt,"100/25/200 mg, Bottle of 100 Tablets (NDC64679-0784-04)"
d231,235.38,"Carbidopa, Levodopa and Entacapone, Tablets",6705,Wockhardt,"125/31.25/200 mg, Bottle of 100 Tablets (NDC 64679-0785-04)"
d232,289.65,"Carbidopa, Levodopa and Entacapone, Tablets",8211,Wockhardt,"150/37.5/200 mg, Bottle of 100 Tablets (NDC 64679-0786-04)"
d233,254.77,"Carbidopa, Levodopa and Entacapone, Tablets",3763,Wockhardt,"200/50/200 mg, Bottle of 100 Tablets (NDC 64679-0787-04)"
d234,839.04,Carboplatin Injection,8062,Ingenus Pharmaceuticals LLC,450 mg/45 mL (NDC 50742-448-45)
d235,743.16,Carboplatin Injection,1380,Ingenus Pharmaceuticals LLC,600 mg/60 mL (10 mg/mL)(NDC 50742-447-60)
d236,919.43,Cardene IV (nicardipine hydrochloride) 0.2 mg/mL in 5% Dextrose,3480,"Chiesi USA, Inc.",Cardene IV (nicardipine hydrochloride) 0.2 mg/mL in 5% Dextrose (NDC 10122-326-10)
d237,417.35,"Carisoprodol, Aspirin, and Codeine Phosphate Tablets USP",600,Ingenus Pharmaceuticals LLC,200 mg/325 mg/16 mg (NDC 50742-256-01)
d238,887.59,Caspofungin Acetate Injection,1269,"Mylan Pharmaceuticals Inc., a Viatris Company",50 mg (NDC 67457-831-50)
d239,498.85,Cefazolin Injection,1698,"Hospira, Inc.",1g Single-dose ADD-Vantage Vial (NDC 00409-2585-01
d24,128.6,Amino Acids,7342,"ICU Medical, Inc.",Aminosyn II 15% Sulfite-Free BLK PK 2000 mL (Legacy Hospira NDC 0409-7171-17)(ICU Medical NDC 0990-7171-17)
d240,392.9,Cefazolin Injection,2350,Apotex Corp.,Cefazolin for Injection 1 g (25 vials) (NDC 60505-6142-05)
d241,413.94,Cefazolin Injection,6534,Sagent Pharmaceuticals,10g 10 vials (NDC 25021-102-99)
d242,797.87,Cefazolin Injection,3898,Sagent Pharmaceuticals,500mg 25 vials (NDC 25021-100-10)
d243,363.3,Cefazolin Injection,343,B. Braun Medical Inc.,Cefazolin Injection 2 gram/50 mL in DUPLEX Catalog 3105-11 (NDC 00264-3105-11)
d244,203.8,Cefazolin Injection,4090,B. Braun Medical Inc.,Cefazolin Injection 1 gram/50 mL in DUPLEX Catalog 3103-11 (NDC 0264-3103-11)
d245,470.35,Cefazolin Injection,4037,WG Critical Care,500mg SDV (NDC 44567-706-25)
d246,808.19,Cefazolin Injection,3753,WG Critical Care,1g SDV (NDC 44567-707-25)
d247,930.19,Cefazolin Injection,9798,WG Critical Care,10g PBP (NDC 44567-708-10)
d248,486.12,Cefazolin Injection,8146,"Hospira, Inc.",1g Single Dose Glass Fliptop Vial (NDC 00409-0805-01)
d249,347.03,Cefazolin Injection,558,"Hospira, Inc.",1g Single Dose Glass Fliptop Vial (NDC 00409-0805-01)
d25,4.27,Amino Acids,9526,"ICU Medical, Inc.",Aminosyn II 10% Sulfite-Free BLK PK 2000 mL (NDC 0409-7172-17) (ICU Medical NDC 0990-7172-17)
d250,77.91,Cefazolin Injection,9256,"Hospira, Inc.",10 g Pharmacy Bulk Package Glass Fliptop Vial (NDC 00409-0806-01)
d251,227.24,Cefazolin Injection,1071,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",500 mg/ 10 mL vial (NDC 0143-9923-90)
d252,103.67,Cefazolin Injection,2921,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",1 g/ 10 mL vial (NDC 0143-9924-90)
d253,439.64,Cefazolin Injection,6635,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",10 mg/ 100 mL vial (NDC 0143-9983-03)
d254,297.67,Cefazolin Injection,8473,Sandoz,Cefazolin Na Injection 500 mg (NDC 0781-3450-95)
d255,277.4,Cefazolin Injection,2019,Sandoz,Cefazolin Na Injection 1 g (NDC 0781-3451-96)
d256,613.23,Cefazolin Injection,9444,Sandoz,Cefazolin Na Injection 10 g (NDC 0781-3452-95)
d257,658.67,Cefazolin Injection,8874,Apotex Corp.,Cefazolin for Injection 10 g (10 vials) (NDC 60505-6143-04)
d258,125.72,Cefazolin Injection,9182,Sagent Pharmaceuticals,1g 25 vials (NDC 25021-101-10)
d259,920.34,Cefazolin Injection,6644,Baxter Healthcare,"Cefazolin Injection, USP, 1 gram/50 mL, in GALAXY Plastic Container. Frozen Premix. (Product code 2G3503)(NDC 0338-3503-41)"
d26,707.34,Amino Acids,9608,"ICU Medical, Inc.","AMINOSYN™-PF 7%, Sulfite-Free, 500 mL (NDC 0409-4178-03) (ICU Medical NDC 0990-4178-03)"
d260,556.29,Cefazolin Injection,5164,Baxter Healthcare,"Cefazolin Injection, USP, 2 gram/100 mL, in GALAXY Plastic Container. Frozen Premix. (Product code 2G3508)(NDC 0338-3508-41)"
d261,588.62,Cefazolin Injection,6225,"Samson Medical Technologies, L.L.C.",100 gram SmartPak® Pharmacy Bulk Package (NDC 66288-1100-1)
d262,996.31,Cefazolin Injection,6273,"Samson Medical Technologies, L.L.C.",300 gram SmartPak® Pharmacy Bulk Package (NDC 66288-1300-1)
d263,503.6,Cefdinir Capsules,2607,Sandoz,300 mg capsules  (NDC 0781-2176-60)
d264,750.15,Cefdinir Powder for Suspension,1089,Sandoz,125 mg/5 mL (NDCs 0781-6077-46 and 0781-6077-61)
d265,680.91,Cefdinir Powder for Suspension,2221,Sandoz,250 mg/5 mL (NDCs 0781-6078-46 and 0781-6078-61)
d266,140.53,Cefotaxime Sodium Injection,2424,"SteriMax, Inc.","2g/vial, (NDC 21586-012-2)"
d267,325.43,Cefotaxime Sodium Injection,993,"SteriMax, Inc.","1g/vial, (NDC 21586-011-2)"
d268,539.72,Cefotaxime Sodium Injection,3459,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",500 mg/ 10 mL vial (NDC 0143-9930-10)
d269,488.34,Cefotaxime Sodium Injection,6757,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",1 g/ 10 mL vial (NDC 0143-9931-25)
d27,876.3,Amino Acids,7605,"ICU Medical, Inc.","AMINOSYN II 10%, Sulfite-Free, (Pediatric Formula) 1000 mL (Legacy Hospira NDC 0409-4179-05) (ICU Medical NDC 0990-4179-05)"
d270,856.16,Cefotaxime Sodium Injection,2593,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",2 g/ 10 mL vial (NDC 0143-9933-25)
d271,970.11,Cefotaxime Sodium Injection,4310,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",10 g/ 100 mL vial (NDC 0143-9935-01)
d272,186.34,Cefotetan Disodium Injection,9429,B. Braun Medical Inc.,1 gram/50 mL in DUPLEX (NDC 00264-3173-11)
